7821AC;14
9403AB;30
7701BZ;11
9641KK;8
3079LK;291-293
3911LB;2
5931KP;117
7903AK;78
2984BH;12
7772BN;37
8263BG;2B
1689AA;22
6713KR;29
9672BN;7B
9206AK;4
7071VR;18
8102HR;17
1446WT;29
3606AS;30-11
3762EN;70
4004JS;14
7121GD;46
6708AE;119
3449HB;8
7941GX;32A
9351PA;6
5222AS;64C
9601KD;63A
3752LM;7
7577RB;88
9502ET;24
8431NJ;2
5831LK;62
5803AP;71A
3068JE;140
7651DH;9
5531AB;4a-1
8263AC;6
5349AD;20
4264AH;6
7903AJ;57
4538AN;41
5803AN;56
3606AS;8
8912AW;20
9403AZ;10
7418BH;5
7591BK;40
9723BK;135
9201CH;108
5705CV;6
6003DB;33
6673DE;1-3
5504DG;5413-a
5613DX;35c
1327EN;9
8031ES;15
3316GD;7
5462GH;114a
4462GL;1
7004GZ;259-261
7942HB;6
7491HJ;4
5246JJ;38
8606JS;17
5301KA;13
6135KD;192
3903LH;13d
5281LJ;39
3261LJ;5
4251LK;8a
3225LV;24
3881LW;20
6604LZ;5007
3245MD;9
3824ML;21
6226NC;7
5492NL;5
5431NS;8
4131NS;1
6042NW;6
4501PB;1
1742PE;5
8161PH;10b
6442PK;3
4338PL;21
5684PR;13
3812PS;27
5751PW;16
9101PW;8
5628RA;2
5928RA;40
5107RG;16m
8447RH;32
1424RS;50
4571RV;35
4651RZ;16
1704SH;18
5664TH;19
7554TK;7
6525TX;2a
5981XC;10
5421XL;5
5555XL;24c
5406XP;33
8531XK;49
6827BX;62
4811GK;110
4817ZL;7001e
7722GA;22
3317EP;14
8304AH;18
2801SB;13
7903AZ;9a
8531XK;1
3142CC;34-36
2984AS;17b
3047AC;39
3044AK;41
3029AR;29-31
3031AW;84-86
3044AW;74
3023EM;421
3072EP;50a
3076JT;41
3034EM;162
3087AJ;86
3036HC;49
2691GH;140
3029AV;51
2522SN;80-84
2562EL;350-358
7951CX;13
8331TK;1-a
3133KJ;19
3133EE;29b
2723RT;125
8031ES;15
